year,month,day,CO,NO2,O3,PM10,PM25,SO2,airpressure,dewpoint_temp,humi,sealevelpressure,temp,date,delay_snow,delay_wind,delay_rain,delay_visibility,delay_cloud,delay_typhoon,delay_fairway,delay_other,cancel_snow,cancel_wind,cancel_rain,cancel_visibility,cancel_cloud,cancel_typhoon,cancel_fairway,cancel_other,delay_sum,cancel_sum,tot
2018,3,26,0.9666666666666667,0.028250000000000015,0.04204166666666668,56.375,34.375,0.004791666666666669,1022.0208333333334,3.1624999999999996,86.95833333333333,1022.8208333333336,5.270833333333333,2018-03-26,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,2.0,16.0
2018,3,27,0.8958333333333335,0.03529166666666668,0.03333333333333335,68.75,36.645833333333336,0.0077500000000000025,1017.5875,4.845833333333334,77.70833333333333,1018.3875000000002,8.8625,2018-03-27,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,7.0,21.0
2018,3,28,0.7249999999999998,0.026541666666666682,0.03675000000000001,53.458333333333336,28.416666666666668,0.0068750000000000035,1016.2416666666667,6.883333333333332,75.16666666666667,1017.0416666666666,11.350000000000001,2018-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,29,0.6708333333333331,0.021000000000000008,0.03395833333333335,54.75,30.666666666666668,0.005125000000000002,1019.3916666666668,8.370833333333335,76.5,1020.1916666666666,12.558333333333332,2018-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,30,0.6791666666666664,0.028041666666666677,0.02883333333333334,58.541666666666664,26.416666666666668,0.005875000000000002,1022.6666666666669,3.65,63.625,1023.4666666666667,10.904166666666669,2018-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,3,31,0.6791666666666666,0.03279166666666668,0.03137500000000001,55.0,25.083333333333332,0.00941666666666667,1020.3125,3.8375000000000004,62.833333333333336,1021.1125000000002,11.424999999999999,2018-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4,1,0.6916666666666663,0.029291666666666678,0.02779166666666667,84.625,30.0,0.008958333333333336,1016.1416666666668,8.491666666666665,74.54166666666667,1016.9416666666667,13.024999999999999,2018-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4,2,0.6458333333333331,0.02241666666666668,0.032333333333333346,70.25,22.125,0.007333333333333337,1015.0333333333334,10.387500000000001,73.45833333333333,1015.8333333333331,15.429166666666665,2018-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4,3,0.6458333333333331,0.02279166666666668,0.02412500000000001,52.104166666666664,13.958333333333334,0.00641666666666667,1016.2541666666665,10.912500000000001,79.29166666666667,1017.0541666666667,14.54166666666667,2018-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,4,6,0.6208333333333332,0.01183333333333334,0.032416666666666684,114.875,21.791666666666668,0.004000000000000003,1011.5625,0.9583333333333331,69.70833333333333,1012.3625000000002,6.45,2018-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
